issue,during trump,during clinton,during all,post trump,post clinton,post all
Racial Issues,0.004729163693686833,0.01295090343695527,0.007613586911567313,0.008894690990853582,0.016960834678694154,0.01079342535534401
Immigration,0.015569603219025493,0.022160677181662466,0.018396966688772547,0.014832942673941679,0.009384336614572745,0.013518264562106719
Terrorism,0.016262785045609515,0.009117299167158583,0.013397788840489987,0.00928425342658031,0.0031908445902953117,0.006391189674711053
Jobs/Employment,0.008720227378426999,0.00595456944654833,0.00677017168999325,0.007569854391977837,0.005584281856839257,0.006227594279864657
Foreign Policy/National Security,0.057054040085503514,0.0781045736240192,0.0657318647636684,0.0438613535463202,0.03234004934446104,0.037089952369134455
Budget/Taxation,0.03542251558087898,0.04215973012298623,0.038002056659556936,0.020953098266170537,0.023900691624549452,0.020907548906454167
Financial Regulation,0.0016451515350927458,0.000777976472781608,0.0011224847974294985,0.0017531263482422998,0.0006948016785658543,0.0014083209615541247
Guns,0.0034862424664999087,0.0079691764630631,0.005451806601861592,0.005754153862090891,0.0037629014445867883,0.00501479176738078
LGBT Issues,0.002307278815845804,0.004957926546426576,0.003038955518864569,0.0029086501842838265,0.007685874640207489,0.004181578168296454
Environment/Energy,0.002275300027579394,0.0028570429803490283,0.002389639352044252,0.0036245331617885037,0.00489833447252799,0.004145155249102746
Health Care,0.003550015194545639,0.004025247295118607,0.004281284097448302,0.01036403960983853,0.006321445256936862,0.008754316331343522
Abortion,0.009107300110391516,0.016397750760436054,0.012344994899542189,0.005187075340936287,0.007475802168677084,0.006313023327286327
Ethics,0.008461254648015207,0.0023359127873002904,0.0053664464353961865,0.00926975453083338,0.0027807692367789326,0.005607666073910897
Justice,0.0012092788025367127,0.0013841436097959585,0.0015580804822518206,0.0017684837312374035,0.001526063656820055,0.0017386985857088528
Campaign Finance,0.0016129878983392471,0.001210598826192668,0.0012370961979852662,0.0020178265830957946,0.0012234551296485697,0.0017663132585785857
Veterans,0.002113742449863545,0.0024665672172416247,0.0021148837070013816,0.002817268986089359,0.002600905533881825,0.0024218984492630994
Drugs,0.00017690000214424246,0,0.00011881400412155733,0.0003734419529554711,0.00031719207064962915,0.00034996366256456334
Education,0.0004347636416334987,0.0003884923941519375,0.00043718209808887853,0.0008964514620371693,0.0007552192158324503,0.0008104407262125547
Other,0.8187131735601597,0.7756450225744576,0.802607857454812,0.8378599935117441,0.8606110122767394,0.8537711980056161
Economy,0.005100894001222957,0.0076017573640629905,0.00619605707837004,0.006413281293744098,0.005128893350372931,0.00566193800157167
Trade,0.0005319939458423509,0.0003237849819798534,0.0005369034793883726,0.0012376524494501246,0.001194114429079447,0.0013212643033986768
Income Inequality,0.0011449515290297156,0.001016724510795849,0.0009793179580757175,0.0012290675769683897,0.0012392539684165588,0.0010227276690610552
Surveillance/Privacy,0.0003704363681265014,0.0001941222365162521,0.0003057602832699529,0.0011290061188201676,0.0004229227608661722,0.0007827303115349525
